y,x
0,653
0,654
0,655
1,655
2,653
2,655
2,657
3,655
3,656
3,657
3,658
4,656
5,656
8,657
9,657
10,659
11,659
23,659
24,659
25,659
27,659
31,659
32,659
41,659
42,659
43,659
45,659
46,659
58,660
59,656
59,658
60,656
60,658
60,659
60,660
61,657
61,658
61,659
62,655
62,658
64,654
64,658
65,656
65,658
66,658
67,655
67,658
68,654
68,655
68,658
69,653
69,655
69,658
70,653
70,654
70,655
70,656
70,657
70,658
71,653
71,654
71,655
71,657
71,658
72,653
72,655
72,657
72,659
73,653
73,655
73,659
74,653
74,654
74,655
74,659
75,653
75,654
75,655
76,653
76,655
76,656
76,658
77,653
77,654
77,655
77,658
78,653
78,654
78,655
78,658
79,653
79,655
79,656
80,653
80,655
80,657
81,653
81,654
81,655
81,656
81,658
82,653
82,654
82,655
82,656
82,657
82,658
83,653
83,655
83,656
83,657
83,658
84,653
84,654
84,655
84,656
85,655
85,657
86,655
86,656
86,657
86,658
87,653
87,654
87,655
88,654
88,655
88,656
89,653
89,654
89,655
89,656
89,658
90,653
90,654
90,655
90,656
90,658
91,653
91,654
91,655
91,656
91,657
92,653
92,654
92,655
92,656
92,657
93,653
93,654
93,655
93,658
94,653
94,654
94,655
94,656
95,653
95,654
95,655
95,656
96,653
96,654
96,655
96,656
96,657
97,653
97,654
97,655
97,656
97,657
98,653
98,654
98,655
98,656
98,657
99,653
99,654
99,655
99,656
100,653
100,654
100,655
100,656
101,653
101,655
101,656
101,657
102,653
102,654
102,655
102,656
102,658
103,653
103,654
103,655
103,656
104,653
104,654
104,655
104,656
105,653
105,655
105,656
106,653
106,654
106,655
106,656
107,652
107,653
107,654
107,655
107,656
107,657
108,652
108,653
108,654
108,655
108,656
108,657
109,652
109,653
109,654
109,655
109,656
109,657
110,652
110,653
110,654
110,655
111,652
111,653
111,654
111,655
111,656
112,652
112,653
112,654
112,655
112,656
113,652
113,653
113,654
113,655
113,656
113,657
114,652
114,654
114,655
114,656
114,657
115,652
115,654
115,655
115,656
115,657
116,652
116,653
116,654
116,655
116,656
116,657
117,652
117,653
117,654
117,655
117,656
117,657
118,652
118,653
118,654
118,655
118,656
118,657
119,652
119,653
119,654
119,655
119,656
119,657
120,652
120,653
120,654
120,655
120,656
120,657
121,652
121,653
121,654
121,655
121,656
122,652
122,653
122,654
122,655
122,656
123,652
123,653
123,654
123,655
123,656
124,653
124,654
124,655
124,656
125,653
125,654
125,655
125,656
126,653
126,654
126,655
126,656
127,653
127,654
127,655
128,651
128,653
128,654
128,655
128,656
128,657
129,651
129,653
129,654
129,655
129,656
130,651
130,652
130,653
130,654
130,655
131,652
131,653
131,654
131,655
132,650
132,651
132,653
132,654
132,655
133,650
133,651
133,653
133,654
133,655
134,652
134,653
134,654
134,655
135,651
135,652
135,653
135,654
136,653
136,654
136,655
137,651
137,653
137,654
137,655
138,653
138,654
138,655
139,652
139,653
139,654
139,655
140,653
140,654
140,655
141,651
141,653
141,654
142,653
142,654
142,656
143,653
143,654
143,655
144,653
144,654
144,655
145,653
145,654
145,655
145,656
146,653
146,654
146,655
146,656
147,653
147,654
147,655
147,656
148,654
148,655
148,656
149,654
149,655
149,656
150,655
150,656
150,657
150,658
151,654
151,655
151,656
151,657
152,653
152,654
152,655
152,656
153,653
153,654
153,655
153,656
153,657
154,653
154,655
154,656
154,657
154,658
155,653
155,654
155,655
155,656
155,657
155,658
155,659
156,654
156,655
156,656
156,657
156,658
157,653
157,654
157,655
157,656
157,657
157,658
157,659
158,653
158,654
158,655
158,656
158,657
158,658
158,660
159,653
159,654
159,655
159,656
159,657
159,658
159,660
160,653
160,655
160,656
160,657
160,658
160,659
160,660
161,655
161,656
161,657
161,658
161,659
162,655
162,656
162,657
162,658
163,656
163,657
163,658
163,661
164,656
164,657
164,658
164,659
164,661
165,656
165,657
165,658
165,659
165,661
166,656
166,657
166,658
166,659
166,661
167,656
167,657
167,658
167,659
168,656
168,657
168,658
168,659
168,661
169,657
169,658
169,659
170,657
170,658
170,659
171,657
171,658
171,659
171,660
172,657
172,658
172,659
172,660
173,656
173,657
173,658
173,659
174,657
174,658
174,659
174,660
175,656
175,657
175,658
175,660
176,656
176,657
176,658
176,659
176,660
177,657
177,658
177,659
177,660
