y,x
114,870
131,828
139,873
157,616
159,616
186,648
187,615
218,625
304,809
304,810
305,807
305,809
334,600
337,596
340,599
340,600
343,596
344,593
345,593
347,589
351,593
351,594
351,595
351,596
352,595
381,628
381,629
382,628
388,630
388,652
408,671
408,673
408,674
408,675
408,676
408,677
408,678
409,666
410,664
410,665
422,674
480,651
480,652
480,655
480,656
480,662
480,663
480,664
480,665
480,667
480,668
480,669
481,643
481,649
481,650
481,651
481,652
481,654
481,655
481,656
481,657
481,658
481,659
481,660
481,661
481,670
481,671
481,672
482,645
482,646
482,647
482,648
482,649
482,650
482,660
483,646
483,647
485,652
485,673
487,623
487,628
487,629
487,631
487,632
487,633
490,735
490,736
490,737
490,739
490,740
490,744
490,745
491,626
491,649
491,650
491,651
491,652
491,653
491,654
491,655
491,656
491,728
491,732
491,733
491,734
491,735
491,747
492,653
492,654
492,656
492,659
492,660
492,661
492,662
492,665
492,666
492,667
492,668
492,669
492,670
492,671
492,672
492,729
492,730
492,732
492,733
492,748
493,672
493,744
493,745
493,749
493,750
494,733
494,745
494,746
494,751
495,733
495,734
495,735
496,637
497,725
498,629
498,630
498,631
499,637
499,727
499,728
499,729
499,730
499,731
499,739
500,720
500,721
500,760
501,721
502,615
502,648
503,616
503,648
503,650
503,670
504,732
504,733
504,762
505,724
505,728
505,732
506,721
506,731
506,733
506,734
507,632
507,633
507,635
507,638
507,641
507,668
507,671
507,672
507,722
507,730
507,731
507,732
507,734
507,735
507,736
507,737
507,738
508,619
508,620
508,621
508,624
508,633
508,638
508,640
508,666
508,727
508,728
508,729
508,730
508,731
508,738
508,739
508,743
508,744
508,745
508,746
508,747
509,619
509,673
509,674
509,675
509,676
509,677
509,678
509,725
509,728
509,747
509,748
510,673
510,677
510,678
510,679
510,721
510,726
510,727
510,732
510,733
510,734
510,743
510,757
510,758
510,759
511,635
511,638
511,679
511,680
511,719
511,727
511,729
511,736
511,740
511,741
512,635
512,638
512,641
512,642
512,654
512,738
512,739
513,635
513,638
513,639
513,666
513,667
513,668
513,677
513,681
513,737
513,738
513,752
513,753
513,754
514,614
514,615
514,618
514,625
514,630
514,631
514,635
514,660
514,661
514,662
514,664
514,667
514,668
514,669
514,670
514,729
514,736
514,737
514,738
514,748
514,749
514,750
514,751
514,752
514,753
514,754
514,755
514,756
515,612
515,619
515,635
515,644
515,645
515,646
515,653
515,654
515,657
515,661
515,673
515,675
515,676
515,739
515,740
515,743
515,749
515,750
516,610
516,617
516,635
516,647
516,653
516,654
516,655
516,656
516,672
516,680
516,739
516,740
516,741
516,742
517,635
517,638
517,654
517,655
517,656
517,662
517,679
517,737
517,751
518,635
518,638
518,660
518,670
518,674
518,681
518,731
518,732
519,619
519,628
519,629
519,630
519,631
519,635
519,638
519,639
519,725
519,726
519,729
519,730
519,731
519,732
519,765
520,624
520,626
520,627
520,631
520,635
520,640
520,643
520,674
520,678
520,679
520,727
520,728
520,729
520,730
520,745
520,746
520,748
520,749
521,613
521,624
521,625
521,626
521,627
521,628
521,629
521,630
521,634
521,635
521,638
521,745
521,746
522,611
522,612
522,619
522,620
522,623
522,624
522,656
522,657
522,741
522,742
522,743
522,755
522,756
522,757
522,758
522,759
522,760
523,617
523,618
523,620
523,638
523,639
523,644
523,647
523,658
523,674
523,675
523,704
523,705
523,742
523,752
523,753
523,754
524,617
524,620
524,621
524,622
524,629
524,630
524,631
524,634
524,635
524,638
524,643
524,720
525,617
525,618
525,619
525,621
525,622
525,623
525,624
525,625
525,634
525,635
525,637
525,638
525,643
525,644
526,611
526,612
526,613
526,615
526,620
526,621
526,622
526,625
526,629
526,632
526,634
526,643
526,646
526,648
526,649
526,671
526,677
526,679
526,680
526,681
526,732
526,733
526,735
526,737
526,738
526,739
526,747
526,748
526,753
526,757
527,616
527,617
527,620
527,621
527,622
527,623
527,625
527,626
527,627
527,634
527,638
527,650
527,662
527,672
527,739
527,740
528,618
528,619
528,625
528,631
528,634
528,638
528,639
528,655
528,658
528,676
528,677
528,704
528,721
528,722
528,723
528,724
529,609
529,614
529,616
529,617
529,618
529,619
529,620
529,621
529,622
529,624
529,625
529,627
529,628
529,629
529,634
529,635
529,638
529,641
529,644
529,645
529,648
529,649
529,704
529,719
529,728
530,615
530,616
530,620
530,621
530,622
530,623
530,631
530,634
530,635
530,637
530,638
530,641
530,644
530,646
530,700
530,701
530,740
530,741
530,742
531,610
531,613
531,614
531,615
531,620
531,622
531,624
531,630
531,631
531,632
531,634
531,635
531,637
531,638
531,641
531,642
531,649
531,742
532,613
532,614
532,615
532,617
532,618
532,619
532,620
532,621
532,622
532,623
532,624
532,625
532,627
532,628
532,629
532,630
532,631
532,634
532,635
532,637
532,638
532,642
532,645
532,646
532,650
532,673
532,699
533,613
533,614
533,617
533,618
533,619
533,624
533,627
533,629
533,630
533,631
533,634
533,637
533,638
533,642
533,645
533,646
533,656
533,673
533,674
533,675
533,678
533,701
533,702
533,722
533,723
533,740
534,613
534,614
534,615
534,618
534,620
534,624
534,625
534,626
534,627
534,631
534,633
534,634
534,635
534,637
534,638
534,642
534,650
534,651
534,652
534,653
534,654
534,660
534,661
534,662
534,665
534,668
534,673
534,674
534,675
534,676
534,677
534,678
534,695
534,703
534,717
534,729
534,753
534,756
535,612
535,613
535,614
535,615
535,616
535,617
535,618
535,620
535,621
535,622
535,623
535,624
535,625
535,626
535,627
535,628
535,629
535,630
535,631
535,633
535,634
535,635
535,637
535,638
535,639
535,640
535,643
535,646
535,648
535,651
535,652
535,659
535,660
535,664
535,677
535,724
535,725
535,730
535,731
535,732
535,733
535,734
535,735
535,745
535,746
535,747
536,613
536,614
536,615
536,616
536,617
536,618
536,619
536,620
536,621
536,622
536,623
536,625
536,626
536,627
536,630
536,631
536,634
536,635
536,637
536,638
536,643
536,644
536,648
536,651
536,652
536,653
536,657
536,658
536,659
536,663
536,696
536,697
536,730
536,731
536,732
536,733
536,734
536,737
536,739
536,741
536,742
536,747
537,611
537,614
537,615
537,616
537,617
537,618
537,619
537,620
537,621
537,622
537,623
537,624
537,625
537,626
537,627
537,628
537,629
537,630
537,631
537,634
537,638
537,639
537,641
537,643
537,644
537,647
537,648
537,673
537,722
537,734
537,735
537,736
537,749
538,610
538,611
538,612
538,613
538,614
538,615
538,616
538,617
538,618
538,621
538,622
538,623
538,624
538,627
538,628
538,629
538,630
538,631
538,633
538,638
538,639
538,640
538,644
538,645
538,653
538,654
538,665
538,675
538,699
538,728
539,611
539,612
539,613
539,614
539,615
539,616
539,617
539,618
539,619
539,620
539,622
539,623
539,624
539,625
539,628
539,630
539,632
539,636
539,638
539,639
539,640
539,641
539,644
539,658
539,659
539,660
539,661
539,663
539,664
539,665
539,666
539,668
539,674
539,675
539,676
539,705
539,706
540,611
540,613
540,616
540,617
540,619
540,620
540,621
540,622
540,623
540,624
540,625
540,626
540,630
540,632
540,639
540,640
540,641
540,645
540,646
540,648
540,653
540,656
540,660
540,663
540,704
540,705
540,706
540,718
540,719
540,720
540,721
540,737
540,773
540,776
541,611
541,616
541,620
541,621
541,622
541,624
541,625
541,626
541,627
541,628
541,630
541,631
541,641
541,642
541,643
541,644
541,645
541,646
541,647
541,649
541,650
541,654
541,655
541,656
541,657
541,659
541,660
541,666
541,705
541,706
541,707
541,721
541,722
541,727
541,728
541,737
541,738
542,614
542,615
542,616
542,617
542,618
542,619
542,620
542,621
542,624
542,625
542,626
542,627
542,630
542,631
542,632
542,643
542,644
542,645
542,646
542,647
542,648
542,728
542,739
543,632
543,633
543,637
543,638
543,639
543,640
543,641
543,647
543,648
543,653
543,654
543,741
543,742
544,633
544,634
544,635
544,639
544,641
544,642
544,643
544,644
544,645
544,646
544,647
544,648
544,655
544,722
544,724
544,736
544,737
544,738
544,742
544,743
544,746
544,751
544,752
544,753
544,756
544,757
544,758
544,759
544,763
544,764
544,765
544,766
544,767
544,768
544,770
545,615
545,622
545,625
545,628
545,630
545,631
545,632
545,633
545,649
545,650
545,651
545,652
545,653
545,654
545,655
545,656
545,657
545,658
545,659
545,660
545,661
545,662
545,668
545,669
545,670
545,671
557,703
557,704
557,724
557,725
557,726
557,727
557,731
558,703
558,704
558,705
558,706
558,707
558,715
558,716
558,717
558,718
558,719
558,720
558,721
558,722
558,723
558,724
558,725
558,726
558,727
558,728
558,731
558,732
558,733
558,734
558,735
559,666
559,667
559,670
559,707
559,708
559,709
559,714
559,715
559,717
559,718
559,719
559,720
559,721
559,722
559,723
559,724
559,725
559,726
559,727
559,728
559,729
559,730
559,733
559,734
559,735
559,736
559,737
559,738
559,739
559,740
559,741
560,659
560,661
560,662
560,664
560,672
560,691
560,693
560,696
560,701
560,702
560,703
560,705
560,706
560,707
560,709
560,710
560,712
560,713
560,714
560,715
560,716
560,717
560,718
560,719
560,720
560,721
560,722
560,723
560,724
560,725
560,726
560,727
560,728
560,729
560,730
560,731
560,733
560,734
560,735
560,739
560,740
560,741
560,742
560,743
561,689
561,692
561,697
561,699
561,705
561,706
561,707
561,708
561,709
561,710
561,720
561,721
561,724
561,725
561,726
561,729
561,730
561,735
561,736
561,739
561,740
561,741
561,742
561,743
562,664
562,665
562,666
562,667
562,668
562,670
562,671
562,689
562,690
562,691
562,692
562,699
562,703
562,704
562,711
562,720
562,721
562,723
562,725
562,727
562,728
562,729
562,730
562,731
562,737
562,738
562,739
562,740
562,741
562,742
562,743
562,744
563,658
563,660
563,664
563,665
563,666
563,667
563,668
563,669
563,691
563,692
563,693
563,694
563,695
563,696
563,697
563,702
563,703
563,705
563,706
563,708
563,709
563,723
563,724
563,725
563,726
563,727
563,729
563,731
563,732
563,733
563,737
563,741
563,742
563,745
563,754
564,661
564,662
564,663
564,666
564,669
564,686
564,689
564,693
564,694
564,698
564,701
564,702
564,703
564,704
564,705
564,706
564,707
564,708
564,709
564,710
564,711
564,725
564,726
564,727
564,732
564,736
564,737
564,738
564,739
564,742
565,656
565,661
565,662
565,663
565,664
565,665
565,666
565,667
565,692
565,695
565,696
565,698
565,701
565,702
565,704
565,705
565,706
565,707
565,711
565,712
565,713
565,714
565,715
565,716
565,721
565,722
565,723
565,727
565,728
565,731
565,735
565,736
565,737
565,738
565,739
565,740
565,741
565,745
566,656
566,657
566,658
566,659
566,684
566,696
566,698
566,699
566,702
566,703
566,704
566,705
566,706
566,707
566,708
566,713
566,714
566,715
566,716
566,717
566,718
566,723
566,724
566,728
566,729
566,741
566,742
566,743
566,744
567,650
567,651
567,652
567,653
567,654
567,658
567,659
567,662
567,683
567,684
567,687
567,697
567,698
567,699
567,700
567,702
567,703
567,704
567,706
567,707
567,708
567,709
567,710
567,712
567,713
567,714
567,715
567,716
567,717
567,718
567,725
567,732
567,736
567,737
567,741
567,742
567,744
567,747
568,649
568,650
568,651
568,652
568,653
568,654
568,657
568,665
568,666
568,667
568,668
568,669
568,670
568,671
568,673
568,674
568,675
568,676
568,677
568,678
568,679
568,690
568,691
568,692
568,693
568,694
568,697
568,698
568,699
568,700
568,701
568,703
568,704
568,708
568,709
568,710
568,714
568,715
568,716
568,729
568,730
568,731
568,738
568,739
568,740
568,741
568,742
569,647
569,648
569,649
569,650
569,651
569,652
569,653
569,657
569,658
569,659
569,660
569,664
569,665
569,666
569,667
569,668
569,669
569,670
569,671
569,672
569,673
569,674
569,675
569,687
569,688
569,696
569,697
569,698
569,699
569,700
569,701
569,702
569,703
569,704
569,705
569,706
569,707
569,708
569,710
569,711
569,712
569,713
569,728
569,729
569,730
569,731
569,732
569,733
569,735
569,736
569,737
569,738
569,742
569,743
569,744
570,647
570,648
570,649
570,650
570,651
570,652
570,660
570,662
570,663
570,664
570,665
570,666
570,667
570,668
570,669
570,670
570,679
570,680
570,681
570,682
570,683
570,684
570,685
570,692
570,693
570,694
570,695
570,697
570,699
570,700
570,701
570,702
570,704
570,705
570,706
570,707
570,708
570,715
570,722
570,723
570,724
570,725
570,726
570,727
570,728
570,729
570,730
570,736
570,737
570,745
571,646
571,647
571,648
571,649
571,650
571,651
571,652
571,653
571,654
571,655
571,662
571,663
571,664
571,665
571,666
571,667
571,668
571,669
571,670
571,671
571,673
571,674
571,675
571,676
571,677
571,678
571,679
571,680
571,681
571,682
571,683
571,684
571,685
571,686
571,690
571,691
571,692
571,693
571,694
571,695
571,697
571,700
571,701
571,702
571,703
571,704
571,705
571,706
571,707
571,708
571,709
571,714
571,715
571,724
571,725
571,726
571,727
571,728
571,731
571,733
571,737
571,738
571,739
571,740
571,741
571,742
571,748
571,761
572,645
572,646
572,647
572,648
572,649
572,650
572,651
572,652
572,653
572,654
572,656
572,657
572,658
572,661
572,662
572,663
572,664
572,665
572,666
572,667
572,668
572,669
572,670
572,671
572,672
572,673
572,674
572,675
572,676
572,677
572,678
572,685
572,686
572,687
572,688
572,689
572,691
572,694
572,695
572,696
572,697
572,698
572,699
572,700
572,701
572,702
572,703
572,704
572,705
572,706
572,707
572,708
572,709
572,710
572,711
572,712
572,724
572,725
572,726
572,727
572,728
572,732
572,733
572,734
572,735
572,736
572,737
572,738
572,739
572,740
572,741
572,742
572,743
572,744
572,745
572,756
572,762
573,645
573,646
573,647
573,648
573,649
573,650
573,651
573,652
573,653
573,654
573,661
573,662
573,663
573,664
573,665
573,666
573,667
573,668
573,669
573,671
573,698
573,699
573,700
573,701
573,702
573,703
573,704
573,707
573,708
573,709
573,712
573,725
573,726
573,727
573,728
573,729
573,730
573,731
573,732
573,733
573,734
573,737
573,739
573,740
573,741
573,742
573,743
573,744
573,745
573,756
573,763
574,644
574,645
574,646
574,647
574,648
574,649
574,650
574,651
574,652
574,653
574,654
574,656
574,660
574,661
574,662
574,663
574,664
574,665
574,666
574,667
574,687
574,689
574,690
574,696
574,697
574,700
574,701
574,702
574,703
574,704
574,705
574,712
574,713
574,714
574,715
574,717
574,718
574,719
574,725
574,726
574,727
574,728
574,729
574,730
574,731
574,732
574,733
574,734
574,736
574,737
574,743
574,744
574,746
574,749
574,756
574,757
574,762
574,763
575,644
575,645
575,646
575,647
575,648
575,649
575,650
575,651
575,652
575,653
575,654
575,655
575,656
575,657
575,658
575,659
575,660
575,661
575,662
575,663
575,664
575,665
575,666
575,667
575,668
575,671
575,674
575,675
575,676
575,677
575,678
575,679
575,680
575,681
575,682
575,687
575,690
575,691
575,692
575,693
575,694
575,695
575,700
575,701
575,702
575,703
575,704
575,705
575,706
575,707
575,710
575,711
575,712
575,713
575,714
575,715
575,716
575,717
575,720
575,723
575,725
575,726
575,727
575,728
575,729
575,730
575,731
575,732
575,733
575,734
575,735
575,736
575,737
575,738
575,739
575,740
575,741
575,742
575,743
575,744
575,746
575,747
575,750
575,751
575,753
575,756
575,759
575,762
576,643
576,644
576,645
576,646
576,647
576,648
576,649
576,650
576,651
576,652
576,653
576,654
576,655
576,656
576,657
576,658
576,659
576,660
576,661
576,662
576,663
576,664
576,667
576,668
576,673
576,679
576,682
576,683
576,684
576,685
576,686
576,691
576,694
576,697
576,698
576,699
576,700
576,701
576,702
576,704
576,705
576,706
576,707
576,708
576,709
576,710
576,711
576,712
576,713
576,714
576,715
576,716
576,717
576,719
576,720
576,725
576,727
576,728
576,729
576,730
576,731
576,732
576,733
576,734
576,735
576,736
576,739
576,740
576,741
576,742
576,743
576,744
576,747
577,646
577,647
577,648
577,649
577,650
577,651
577,652
577,653
577,654
577,655
577,657
577,662
577,667
577,668
577,669
577,670
577,671
577,672
577,673
577,674
577,675
577,680
577,681
577,682
577,683
577,688
577,689
577,691
577,692
577,695
577,696
577,697
577,698
577,701
577,702
577,703
577,704
577,705
577,706
577,707
577,708
577,709
577,710
577,711
577,712
577,713
577,714
577,715
577,720
577,721
577,725
577,728
577,729
577,730
577,732
577,734
577,735
577,736
577,737
577,738
577,739
577,740
577,741
577,742
577,743
577,744
577,745
578,643
578,647
578,648
578,649
578,650
578,651
578,652
578,653
578,654
578,655
578,666
578,668
578,669
578,670
578,671
578,672
578,677
578,678
578,679
578,703
578,704
578,705
578,706
578,707
578,708
578,709
578,710
578,711
578,712
578,713
578,714
578,715
578,720
578,721
578,722
578,726
578,728
578,729
578,734
578,735
578,736
578,737
578,738
578,746
578,747
578,748
578,761
578,762
579,643
579,644
579,645
579,646
579,647
579,648
579,649
579,650
579,651
579,652
579,653
579,654
579,655
579,656
579,657
579,659
579,660
579,661
579,670
579,671
579,672
579,673
579,675
579,676
579,677
579,686
579,690
579,691
579,692
579,697
579,698
579,699
579,700
579,701
579,702
579,703
579,705
579,706
579,707
579,708
579,709
579,710
579,711
579,712
579,713
579,714
579,715
579,716
579,717
579,718
579,722
579,728
579,729
579,730
579,732
579,733
579,734
579,737
579,741
579,746
579,747
579,749
580,642
580,644
580,645
580,646
580,647
580,648
580,649
580,650
580,651
580,652
580,653
580,654
580,655
580,656
580,658
580,659
580,660
580,661
580,665
580,672
580,679
580,680
580,681
580,683
580,684
580,685
580,686
580,687
580,695
580,696
580,699
580,700
580,701
580,702
580,703
580,704
580,705
580,706
580,707
580,708
580,709
580,710
580,711
580,712
580,713
580,714
580,715
580,716
580,717
580,720
580,729
580,730
580,732
580,734
580,735
580,736
580,737
580,738
580,739
580,740
580,741
580,742
580,743
580,744
580,747
581,645
581,646
581,647
581,648
581,650
581,651
581,652
581,653
581,654
581,655
581,656
581,657
581,658
581,659
581,660
581,661
581,662
581,663
581,665
581,668
581,669
581,671
581,672
581,675
581,676
581,688
581,691
581,694
581,695
581,696
581,697
581,698
581,699
581,700
581,701
581,704
581,705
581,706
581,707
581,708
581,709
581,710
581,711
581,712
581,713
581,714
581,715
581,716
581,720
581,721
581,727
581,730
581,731
581,732
581,735
581,736
581,737
581,742
581,747
581,748
581,759
581,760
582,641
582,642
582,647
582,648
582,649
582,650
582,651
582,652
582,653
582,654
582,655
582,656
582,657
582,658
582,659
582,660
582,661
582,662
582,664
582,671
582,672
582,673
582,674
582,675
582,676
582,677
582,678
582,680
582,681
582,682
582,683
582,685
582,686
582,687
582,688
582,689
582,690
582,691
582,692
582,693
582,700
582,708
582,709
582,710
582,711
582,712
582,713
582,714
582,715
582,716
582,717
582,718
582,723
582,724
582,727
582,728
582,730
582,731
582,740
582,747
582,748
582,761
583,643
583,645
583,646
583,647
583,648
583,649
583,650
583,651
583,652
583,655
583,656
583,657
583,658
583,663
583,664
583,672
583,673
583,674
583,675
583,677
583,678
583,679
583,680
583,681
583,682
583,683
583,687
583,688
583,703
583,704
583,710
583,711
583,712
583,713
583,714
583,715
583,716
583,718
583,719
583,723
583,727
583,728
583,735
583,736
583,738
583,739
583,740
583,741
583,744
583,760
583,761
583,763
584,645
584,646
584,647
584,649
584,650
584,651
584,652
584,653
584,654
584,655
584,656
584,657
584,659
584,660
584,664
584,665
584,666
584,667
584,668
584,669
584,670
584,671
584,674
584,675
584,676
584,677
584,678
584,679
584,680
584,684
584,685
584,686
584,687
584,688
584,693
584,694
584,695
584,697
584,698
584,699
584,700
584,701
584,702
584,703
584,704
584,705
584,706
584,707
584,708
584,709
584,710
584,711
584,712
584,713
584,714
584,715
584,716
584,724
584,725
584,730
584,732
584,736
584,737
584,738
584,739
584,740
584,746
584,747
584,760
584,761
585,645
585,648
585,650
585,651
585,652
585,653
585,654
585,655
585,657
585,658
585,659
585,660
585,661
585,662
585,663
585,670
585,672
585,675
585,676
585,689
585,690
585,691
585,692
585,696
585,699
585,700
585,701
585,702
585,703
585,705
585,706
585,707
585,708
585,709
585,710
585,713
585,714
585,715
585,716
585,717
585,721
585,725
585,726
585,730
585,731
585,732
585,733
585,734
585,737
585,738
585,741
585,746
585,749
585,761
586,643
586,644
586,645
586,646
586,648
586,649
586,650
586,651
586,652
586,653
586,654
586,657
586,658
586,664
586,669
586,670
586,671
586,672
586,673
586,674
586,676
586,677
586,678
586,679
586,680
586,681
586,682
586,684
586,685
586,695
586,696
586,697
586,698
586,702
586,708
586,709
586,710
586,711
586,712
586,713
586,714
586,715
586,716
586,717
586,718
586,720
586,721
586,722
586,723
586,724
586,725
586,726
586,727
586,728
586,736
586,737
586,738
586,742
586,743
586,744
586,745
586,746
587,644
587,645
587,646
587,647
587,648
587,649
587,650
587,651
587,652
587,653
587,654
587,655
587,658
587,662
587,666
587,667
587,670
587,671
587,675
587,676
587,677
587,678
587,679
587,680
587,681
587,682
587,683
587,684
587,685
587,686
587,687
587,688
587,689
587,693
587,694
587,709
587,710
587,711
587,714
587,715
587,716
587,717
587,718
587,719
587,720
587,721
587,722
587,723
587,727
587,728
587,729
587,730
587,732
587,733
587,735
587,736
587,737
587,738
587,739
587,740
587,741
587,742
587,743
587,744
587,745
587,746
587,749
587,751
588,646
588,647
588,648
588,649
588,650
588,651
588,652
588,653
588,655
588,658
588,662
588,663
588,664
588,665
588,666
588,679
588,682
588,683
588,685
588,686
588,689
588,690
588,691
588,692
588,693
588,698
588,699
588,700
588,701
588,702
588,712
588,714
588,715
588,717
588,718
588,721
588,722
588,728
588,729
588,730
588,733
588,734
588,735
588,737
588,738
588,739
588,740
588,741
588,742
588,743
588,745
588,746
588,749
589,642
589,643
589,644
589,647
589,648
589,649
589,650
589,651
589,652
589,654
589,655
589,656
589,658
589,659
589,665
589,669
589,673
589,674
589,675
589,676
589,678
589,679
589,680
589,681
589,682
589,683
589,684
589,685
589,687
589,688
589,689
589,690
589,694
589,695
589,698
589,699
589,700
589,701
589,712
589,713
589,715
589,716
589,717
589,718
589,719
589,729
589,730
589,731
589,732
589,733
589,734
589,736
589,737
589,738
589,739
589,740
589,744
589,749
589,753
589,754
589,755
589,757
590,643
590,644
590,645
590,646
590,648
590,649
590,650
590,651
590,652
590,653
590,654
590,655
590,659
590,660
590,661
590,662
590,663
590,665
590,670
590,671
590,673
590,674
590,675
590,676
590,681
590,684
590,697
590,698
590,703
590,704
590,716
590,717
590,718
590,719
590,723
590,724
590,725
590,726
590,727
590,729
590,730
590,731
590,732
590,733
590,734
590,735
590,738
590,740
590,741
590,743
590,744
590,747
590,748
590,749
590,757
590,759
591,645
591,646
591,647
591,648
591,649
591,650
591,651
591,652
591,653
591,654
591,655
591,656
591,657
591,660
591,661
591,662
591,663
591,665
591,666
591,667
591,668
591,669
591,670
591,676
591,677
591,678
591,681
591,691
591,692
591,706
591,718
591,719
591,720
591,721
591,722
591,723
591,724
591,725
