y,x
0,606
0,607
0,608
0,609
0,610
1,606
1,607
1,608
1,609
1,610
2,606
2,607
2,608
2,609
2,610
3,606
3,607
3,608
3,609
3,610
4,606
4,607
4,608
4,609
4,610
5,606
5,607
5,608
5,609
5,610
6,606
6,607
6,608
6,609
6,610
7,606
7,607
7,608
7,609
7,610
8,606
8,607
8,608
8,609
8,610
9,606
9,607
9,608
9,609
9,610
10,606
10,607
10,608
10,609
10,610
11,606
11,607
11,608
11,609
11,610
12,606
12,607
12,608
12,609
12,610
13,606
13,607
13,608
13,609
13,610
14,607
14,608
14,609
14,610
14,611
15,607
15,608
15,609
15,610
15,611
16,607
16,608
16,609
16,610
16,611
17,607
17,608
17,609
17,610
17,611
18,607
18,608
18,609
18,610
18,611
19,607
19,608
19,609
19,610
19,611
20,607
20,608
20,609
20,610
20,611
21,607
21,608
21,609
21,610
21,611
22,608
22,609
22,610
22,611
23,608
23,609
23,610
23,611
24,608
24,609
24,610
24,611
25,608
25,609
25,610
25,611
26,608
26,609
26,610
26,611
27,608
27,609
27,610
27,611
28,608
28,609
28,610
28,611
29,608
29,609
29,610
29,611
29,612
30,608
30,609
30,610
30,611
30,612
31,608
31,609
31,610
31,611
31,612
32,608
32,609
32,610
32,611
32,612
33,608
33,609
33,610
33,611
33,612
34,608
34,609
34,610
34,611
34,612
35,608
35,609
35,610
35,611
35,612
36,608
36,609
36,610
36,611
36,612
37,608
37,609
37,610
37,611
37,612
38,608
38,609
38,610
38,611
38,612
39,608
39,609
39,610
39,611
39,612
40,608
40,609
40,610
40,611
40,612
41,608
41,609
41,610
41,611
41,612
42,608
42,609
42,610
42,611
42,612
43,607
43,608
43,609
43,610
43,611
43,612
44,608
44,609
44,610
44,611
44,612
45,607
45,608
45,609
45,610
45,611
45,612
46,607
46,608
46,609
46,610
46,611
47,606
47,607
47,608
47,609
47,610
48,606
48,607
48,608
48,609
48,610
49,606
49,607
49,608
49,609
49,610
50,605
50,606
50,607
50,608
50,609
50,610
51,605
51,606
51,607
51,608
51,609
51,610
52,605
52,606
52,607
52,608
52,609
52,610
53,605
53,606
53,607
53,608
53,609
54,605
54,606
54,607
54,608
54,609
55,605
55,606
55,607
55,608
55,609
56,605
56,606
56,607
56,608
56,609
57,604
57,605
57,606
57,607
57,608
57,609
58,604
58,605
58,606
58,607
58,608
58,609
59,604
59,605
59,606
59,607
59,608
59,609
60,604
60,605
60,606
60,607
60,608
60,609
61,604
61,605
61,606
61,607
61,608
62,604
62,605
62,606
62,607
62,608
63,604
63,605
63,606
63,607
63,608
64,604
64,605
64,606
64,607
65,604
65,605
65,606
65,607
65,608
66,604
66,605
66,606
66,607
67,604
67,605
67,606
67,607
68,604
68,605
68,606
68,607
69,602
69,603
69,604
69,605
69,606
69,607
70,602
70,603
70,604
70,605
70,606
70,607
71,602
71,603
71,604
71,605
71,606
71,607
72,602
72,603
72,604
72,605
72,606
72,607
73,602
73,603
73,604
73,605
73,606
73,607
74,602
74,603
74,604
74,605
74,606
74,607
75,602
75,603
75,604
75,605
75,606
75,607
76,602
76,603
76,604
76,605
76,606
76,607
77,602
77,603
77,604
77,605
77,606
77,607
78,602
78,603
78,604
78,605
78,606
78,607
79,602
79,603
79,604
79,605
79,606
79,607
80,602
80,603
80,604
80,605
80,606
81,602
81,603
81,604
81,605
81,606
81,607
82,602
82,603
82,604
82,605
82,606
82,607
83,602
83,603
83,604
83,605
83,606
83,607
84,602
84,603
84,604
84,605
84,606
84,607
84,608
85,603
85,604
85,605
85,606
85,607
86,603
86,604
86,605
86,606
86,607
87,602
87,603
87,604
87,605
87,606
87,607
88,602
88,603
88,604
88,605
88,606
88,607
89,603
89,604
89,605
89,606
89,607
90,602
90,604
90,605
90,606
90,607
91,602
91,603
91,604
91,605
91,606
91,607
92,602
92,603
92,604
92,605
92,606
92,607
93,603
93,604
93,605
93,606
93,607
94,604
94,605
94,606
94,607
95,603
95,604
95,605
95,606
95,607
96,602
96,604
96,605
96,606
96,607
97,603
97,604
97,605
97,606
97,607
98,603
98,604
98,605
98,606
98,607
99,603
99,604
99,605
99,606
99,607
100,603
100,604
100,605
100,606
100,607
101,603
101,604
101,605
101,606
101,607
102,603
102,604
102,605
102,606
102,607
103,603
103,604
103,605
103,606
103,607
104,603
104,604
104,605
104,606
104,607
104,751
104,752
104,753
104,754
104,756
104,757
104,758
104,759
104,760
104,761
104,762
104,763
104,764
104,765
104,769
104,770
105,602
105,603
105,604
105,605
105,606
105,607
105,748
105,749
105,750
105,751
105,752
105,753
105,754
105,755
105,756
105,757
105,758
105,759
105,760
105,761
105,762
105,763
105,764
105,765
105,766
105,767
105,768
105,769
105,770
105,771
105,772
106,602
106,603
106,604
106,605
106,606
106,607
106,747
106,748
106,749
106,750
106,751
106,752
106,753
106,754
106,755
106,756
106,757
106,758
106,759
106,760
106,761
106,762
106,763
106,764
106,765
106,766
106,767
106,768
106,769
106,770
106,771
106,772
106,773
106,774
106,775
106,776
106,777
106,778
106,779
107,602
107,603
107,604
107,605
107,606
107,607
107,749
107,750
107,751
107,752
107,753
107,754
107,755
107,756
107,757
107,758
107,759
107,760
107,761
107,762
107,763
107,764
107,765
107,766
107,767
107,768
107,769
107,770
107,771
107,772
107,773
107,774
107,775
107,776
107,777
107,778
107,779
107,780
108,603
108,604
108,605
108,606
108,748
108,750
108,753
108,754
108,755
108,757
108,758
108,759
108,761
108,762
108,763
108,766
108,771
108,772
108,774
108,775
108,776
108,777
108,778
108,779
108,780
108,781
109,602
109,603
109,604
109,605
109,606
109,777
109,778
109,779
109,780
109,781
110,603
110,604
110,605
110,606
110,607
110,778
110,779
110,780
110,781
111,603
111,604
111,605
111,606
111,778
111,779
111,780
111,781
112,602
112,603
112,604
112,605
112,606
112,778
112,779
112,780
112,781
112,782
113,602
113,603
113,604
113,605
113,606
113,778
113,779
113,780
113,781
114,602
114,603
114,604
114,605
114,606
114,778
114,779
114,780
114,781
114,782
115,602
115,603
115,604
115,605
115,606
115,778
115,779
115,780
115,781
115,782
116,602
116,603
116,604
116,605
116,778
116,779
116,780
116,781
116,782
117,602
117,603
117,604
117,605
117,778
117,779
117,780
117,781
117,782
118,602
118,603
118,604
118,605
118,778
118,779
118,780
118,781
119,602
119,603
119,604
119,605
119,778
119,779
119,780
119,781
119,782
120,602
120,603
120,604
120,605
120,778
120,779
120,780
120,781
120,782
121,602
121,603
121,604
121,605
121,778
121,779
121,780
121,781
121,782
122,602
122,603
122,604
122,605
122,778
122,779
122,780
122,781
122,782
123,601
123,602
123,603
123,604
123,605
123,778
123,779
123,780
123,781
124,601
124,602
124,603
124,604
124,605
124,778
124,779
124,780
124,781
125,601
125,602
125,603
125,604
125,605
125,778
125,779
125,780
125,781
125,782
126,601
126,602
126,603
126,604
126,605
126,778
126,779
126,780
126,781
126,782
127,601
127,602
127,603
127,604
127,605
127,778
127,779
127,780
127,781
128,601
128,602
128,603
128,604
128,605
128,778
128,779
128,780
128,781
128,782
129,601
129,602
129,603
129,604
129,605
129,778
129,779
129,780
129,781
130,601
130,602
130,603
130,604
130,605
130,778
130,779
130,780
130,781
131,601
131,602
131,603
131,604
131,605
131,778
131,779
131,780
131,781
131,782
132,601
132,602
132,603
132,604
132,605
132,778
132,779
132,780
132,781
132,782
133,601
133,602
133,603
133,604
133,605
133,778
133,779
133,780
133,781
134,601
134,602
134,603
134,604
134,605
134,778
134,779
134,780
134,781
134,782
135,602
135,603
135,604
135,605
135,778
135,779
135,780
135,781
135,782
135,783
136,602
136,603
136,604
136,605
136,779
136,780
136,781
136,782
137,602
137,603
137,604
137,605
137,779
137,780
137,781
137,782
137,783
138,602
138,603
138,604
138,605
138,779
138,780
138,781
138,782
138,783
139,602
139,603
139,604
139,605
139,779
139,780
139,781
139,782
139,783
140,602
140,603
140,604
140,605
140,606
140,779
140,780
140,781
140,782
140,783
141,602
141,603
141,604
141,605
141,606
141,779
141,780
141,781
141,782
141,783
142,602
142,603
142,604
142,605
142,606
142,779
142,780
142,781
142,782
142,783
143,603
143,604
143,605
143,606
143,779
143,780
143,781
143,782
143,783
144,603
144,604
144,605
144,606
144,779
144,780
144,781
144,782
144,783
145,603
145,604
145,605
145,606
145,607
145,779
145,780
145,781
145,782
145,783
146,603
146,604
146,605
