y,x
0,623
0,624
0,625
0,626
0,627
1,623
1,624
1,625
1,626
1,627
2,624
2,625
2,626
2,627
3,623
3,624
3,625
3,626
3,627
4,623
4,624
4,625
4,626
4,627
5,623
5,624
5,625
5,626
5,627
6,623
6,624
6,625
6,626
6,627
7,623
7,624
7,625
7,626
7,627
8,623
8,624
8,625
8,626
8,627
9,623
9,624
9,625
9,626
9,627
10,623
10,624
10,625
10,626
10,627
10,628
11,623
11,624
11,625
11,626
11,627
11,628
12,623
12,624
12,625
12,626
12,627
13,623
13,624
13,625
13,626
13,627
14,623
14,624
14,625
14,626
14,627
15,624
15,625
15,626
15,627
16,624
16,625
16,626
16,627
17,624
17,625
17,626
17,627
18,624
18,625
18,626
18,627
19,624
19,625
19,626
19,627
20,624
20,625
20,626
20,627
21,624
21,625
21,626
21,627
22,624
22,625
22,626
22,627
23,624
23,625
23,626
23,627
24,624
24,625
24,626
24,627
25,623
25,624
25,625
25,626
25,627
26,623
26,624
26,625
26,626
26,627
27,623
27,624
27,625
27,626
27,627
28,623
28,624
28,625
28,626
28,627
28,628
29,624
29,625
29,626
29,627
29,628
29,629
30,625
30,626
30,627
30,628
30,629
31,625
31,626
31,627
31,628
31,629
32,626
32,627
32,628
32,629
32,630
33,627
33,628
33,629
33,630
34,627
34,628
34,629
34,630
35,627
35,628
35,629
35,630
35,631
36,628
36,629
36,630
36,631
37,628
37,629
37,630
37,631
38,628
38,629
38,630
38,631
39,628
39,629
39,630
39,631
40,628
40,629
40,630
40,631
41,628
41,629
41,630
41,631
41,632
42,628
42,629
42,630
42,631
42,632
43,628
43,629
43,630
43,631
43,632
44,628
44,629
44,630
44,631
44,632
45,628
45,629
45,630
45,631
45,632
46,628
46,629
46,630
46,631
46,632
47,629
47,630
47,631
47,632
48,629
48,630
48,631
48,632
49,629
49,630
49,631
49,632
50,629
50,630
50,631
50,632
51,629
51,630
51,631
51,632
52,629
52,630
52,631
52,632
53,629
53,630
53,631
53,632
54,629
54,630
54,631
54,632
55,629
55,630
55,631
55,632
56,629
56,630
56,631
56,632
56,633
57,629
57,630
57,631
57,632
57,633
58,629
58,630
58,631
58,632
58,633
59,630
59,631
59,632
